Organization Name,Sector Name,SubSector Name,Operation Name,Address,eWh/HDD/ft^2,Energy Intensity (ekWh/ML)
Alexandra Hospital,Public Hospital,Acute/Chronic,Alexandra Hospital,29 Noxon Street,19.5417290001257,
Alexandra Hospital,Public Hospital,Acute/Chronic,Alexandra Hospital,29 Noxon Street,19.5417290001257,
Alexandria Glengarry Memorial Hospital,Public Hospital,Acute/Chronic,Glengarry Memorial Hospital,20260 County Road 43,18.5066440341598,
Alexandria Glengarry Memorial Hospital,Public Hospital,Acute/Chronic,Glengarry Memorial Hospital,20260 County Road 43,18.5067584626881,
Algoma District School Board,School Board,School Board,Education Centre,644 Albert St. E.,6.68262294062998,
Algoma District School Board,School Board,School Board,Central Plant Office,190 Northern Ave. E.,6.96686490365736,
Algoma District School Board,School Board,School Board,Sir James Dunn P.S.,36 McKinley St.,2.37037902976399,
Algoma District School Board,School Board,School Board,Isabel Fletcher PS,599 Third Line W,2.94101675447537,
Algoma District School Board,School Board,School Board,River View PS,51 Wireless Ave,3.02218070294361,
Algoma District School Board,School Board,School Board,Ben R McMullin PS,24 Paradise Ave,3.05213546596447,
Algoma District School Board,School Board,School Board,Thessalon PS Annex (Federation St),266 Federation St.,3.08080391277864,
Algoma District School Board,School Board,School Board,Missarenda Consolidated PS,P.O. Box 62,3.4054022921703,
Algoma District School Board,School Board,School Board,Kiwedin PS,735 North St,3.14130427310547,
Algoma District School Board,School Board,School Board,W C Eaket SS,147 Woodward Ave,3.35914417219797,
Algoma District School Board,School Board,School Board,Central Avenue PS,81 Central Ave,3.40992598852591,
Algoma District School Board,School Board,School Board,Northern Heights PS,210 Grand Blvd,3.48104205217382,
Algoma District School Board,School Board,School Board,Rosedale PS,90 Chapple St,3.52151717355216,
Algoma District School Board,School Board,School Board,Etienne Brule PS,226 Queen St W,3.63410914820061,
Algoma District School Board,School Board,School Board,Johnson-Tarbutt Central PS,5 Margaret Street,3.69191856748944,
Algoma District School Board,School Board,School Board,Aweres 1 PS,85 Hwy 556,3.72173864586516,
