Organization Name,Sector Name,Subsector Name,Operation Name,Address,eWh/HDD/ft^2,Energy Intensity (ekWh/ML)
City of Barrie,Municipal,Municipality,Fire HQ,155 Dunlop Street,13.6488747265667,
City of Barrie,Municipal,Municipality,Fire Station #1,65 Vespra Street,6.04217118626231,
City of Barrie,Municipal,Municipality,Fire Station #2,15 Bell Farm Road,16.74678975236,
City of Barrie,Municipal,Municipality,Fire Station #3,340 Big Bay Point Road,14.2148783510046,
City of Barrie,Municipal,Municipality,Fire Station#4,250 Ardagh Road,8.350481676947,
City of Belleville,Municipal,Municipality,Fire Hall #1,72 Moira St W,13.5413955534598,
City of Belleville,Municipal,Municipality,Fire Hall #2,316 Dundas St E,13.5879171668608,
City of Belleville,Municipal,Municipality,Fire Hall #3,658 Pointe Anne,6.99626749611198,
City of Belleville,Municipal,Municipality,Fire Hall #4,516 Harmony Road,4.23954549620877,
City of Brampton,Municipal,Municipality,Fire Life Safety Ctr.,225 Central Park Dr,11.7658789042837,
City of Brampton,Municipal,Municipality,Fire Station 201 & HQ,8 Rutherford Rd S,13.7342298379965,
City of Brampton,Municipal,Municipality,FIre Station 202,280 Bramalea Rd,10.5833417884573,
City of Brampton,Municipal,Municipality,Fire Station 203,1945 Williams Pkwy E,16.74678975236,
City of Brampton,Municipal,Municipality,Fire Station 204,657 Queen Street W,12.0092235427619,
City of Brampton,Municipal,Municipality,FIre Station 205,95 Sandalwood Pkwy E,11.1683645718303,
City of Brampton,Municipal,Municipality,Fire Station 206,7880 Hurontario St,9.66884956884689,
City of Brampton,Municipal,Municipality,FIre Station 207,75 Vodden St E,10.260010206895,
City of Brampton,Municipal,Municipality,Fire Station 208,120 Ferforest Dr,7.66389068158384,
City of Brampton,Municipal,Municipality,Fire Station 209,2691 Sandalwood Pkwy E,7.05321875123334,
City of Brampton,Municipal,Municipality,Fire Station 210,10530 Creditview Rd,8.9012777911807,
City of Brampton,Municipal,Municipality,Fire Station 212,8220 Mississauga Road,4.51461508694474,
City of Brampton,Municipal,Municipality,Fire Station 213,4075 Ebenezer Rd,11.1964431764417,
City of Brampton,Municipal,Municipality,Fire Station 217 - Volunteer,7752 Churchville Rd,10.5449267222885,
City of Brampton,Municipal,Municipality,Fire Station 218 - Volunteer,9126 Mississauga Rd,5.35518889958031,
City of Brampton,Municipal,Municipality,Fire Station 219,9756 The Gore Rd,6.87839497429042,
City of Brantford,Municipal,Municipality,Ambulance Station,400 Colborne St.,6.64692289311831,
City of Brantford,Municipal,Municipality,Fire Hall - 1,60 Clarence St.,9.72140881718718,
City of Brantford,Municipal,Municipality,Fire Hall - 2,311 St. Paul Ave.,8.82921366273737,
City of Brantford,Municipal,Municipality,Fire Hall - 3,7 Lynden Rd.,8.41018846283981,
City of Brantford,Municipal,Municipality,Fire Hall - 4,400 Colborne St.,6.47619256338685,
City of Brockville,Municipal,Municipality,Fire Station Number 1,61 Perth Street,3.46386186398831,
City of Brockville,Municipal,Municipality,Fire Station Number 2,360 Laurier Blvd,4.94700690740012,
City of Burlington,Municipal,Municipality,Fire Station 1 Headquarters,1255 Fairview Street,7.43474113505393,
