,dim_City,City
0,1,Holmesville
1,3,Alliston
2,4,Sharbot Lake 
3,5,LEVACK
4,6,Metcalfe
5,7,Picton
6,8,Ear Falls
7,9,Coe Hill
8,10,Colchester Twp
9,568,Ottawa
10,11,Plainville
11,12,Hilliardton
12,13,Thamesville
13,14,Toledo
14,1034,Peterbrough
15,15,Rossmore
16,16,Ulswater
17,17,Shedden
18,18,Shelburne
19,19,Porcupine
20,20,Elmvale
21,21,Casselman
22,22,Garson
23,23,Kerwood
24,24,Levack
25,25,Lions Head
26,26,Welland
27,246,Boulter
28,597,Paris
29,394,Meaford
30,30,Richmond Hill
31,352,Nairn Centre
32,32,Grande Pointe
33,33,Val Therese
34,34,COLDWATER
35,36,ST. MARYS
36,37,Foymount
37,40,Waterloo
38,41,MacTier
39,42,Dundalk
40,43,Angus
41,46,St. Mary's
42,1057,Sundridge
43,47,Savant Lake
44,48,Campbellford
45,49,Schreiber
46,50,Kearney
47,51,Exeter
48,52,TAVISTOCK
49,53,Pelee Island
50,802,Vars
51,55,Chesley
52,357,Sydenham
53,58,Brigden
54,59,St. Agatha
55,60,Port Dover
56,61,Gormley
57,991,Harrow
58,62,Bergland
59,63,Glen Robertson
60,2,Port McNIcoll
61,65,Seeley's Bay`
62,66,Echo Bay
63,414,Madawaska 
64,401,Godfrey
65,70,Windsor
66,71,Fisherville
67,72,Wellesley
68,915,Morganston
69,73,Longlac
70,74,Merlin
71,75,St-Charles
72,76,COPPER CLIFF
73,77,Barwick
74,78,Harrowsmith
75,79,Prince Township
76,80,Innisfil
77,81,Arnprior
78,82,DOWLING
79,83,Lakehurst
80,84,Merrickville
81,407,Lucknow
82,85,"Novar, ON"
83,86,Kakabeka Falls
84,87,Burlington
85,88,Shakespeare
86,89,Barry's bay
87,405,Flesherton
88,91,Kakabeka
89,92,Shining Tree
90,93,Hilton Beach
91,94,Grand Valley
92,234,Port Bolster
93,808,Thorold
94,96,Sheffield
95,97,Hammond
96,1068,Amherstview
97,98,Roseville
98,1122,St Clement
99,100,Rockland
100,408,Walkerton
101,103,Sharbot Lake
102,609,Dunnville
103,107,Walsh
104,108,Tupperville
105,657,Conestogo
106,110,Sault Ste. Marie
107,111,East Gwillumbury
108,112,Maidstone
109,113,McKellar
110,114,East Gwillimbury
111,115,GARSON
112,116,Springford
113,117,Murillo
114,118,Georgina
115,954,Etobicoke
116,119,Geraldton
117,120,Roseneath
118,121,Eagle Lake
119,122,Fraserville
120,123,Arthur
121,124,Moonstone
122,125,Batawa
123,126,Cargill
124,127,Chalk River
125,128,Griffith
126,129,Kemptville 
127,131,Borden
128,132,Baden 
129,815,Wiarton
130,134,Tilbury
131,135,Hallville
132,136,Zurich
133,137,Stevensville
134,138,Earlton
135,139,Verona
136,140,Holland Centre
137,141,Cache Bay
138,142,KEPPEL
139,143,Plattsville
140,144,WAHNAPITAE
141,615,Wheatley
142,1149,Oro Medonte
143,146,Burritt's Rapids
144,147,Green Valley
145,148,Orleans
146,149,Grandbend
147,616,Clarence Creek
148,152,Port Colborne
149,253,St Eugene
150,154,Conmee
151,155,Porquis
152,156,Balmertown
153,157,South River
154,158,Canton
155,159,Richmond
156,1006,Nilestown
157,161,Amaranth
158,162,Cardinal
159,163,Alberton
160,164,Crediton
161,165,Thedford
162,166,Centreville
163,167,Combermerre
164,820,Little Current
165,1066,Chelsey
166,170,White River
167,171,Aurora 
168,821,Sault Ste Marie
169,173,Seymour
170,174,Winchester Springs
171,1158,Rannoch
172,175,Tamworth
173,418,Trout Creek
174,177,Pembroke 
175,1019,Carleton Place
176,1131,Elliot Lake
177,1070,Kincardine
178,179,Joyceville
179,1163,"Williamstown, Ont"
180,822,St. Thomas 
181,182,Brighton
182,183,Sebringville
183,184,Chatsworth
184,185,Serpent River
185,186,Glencoe
186,187,Ridgeway
187,188,Vanier
188,189,Wilkesport
189,469,Omemee
190,191,Walford
191,1013,Selby
192,1011,Newington
193,193,Blackstock
194,194,Innerkip
195,196,Millhaven
196,197,Atikokan
197,198,Millgrove
198,199,Palgrave
199,200,Westbrook
200,527,Pickering
201,202,Flinton
202,203,Bruce Mines
203,918,Waverley
204,205,Moose Creek
205,206,Binbrook
206,207,St. Pauls
207,208,Sheguiandah
208,209,Huron Park
209,240,Goderich
210,211,Vittoria
211,1018,Kemptville
212,212,Bath
213,213,South Buxton
214,214,Fournier
215,215,Bornholm
216,216,FALCONBRIDGE
