,dim_organization,organization,n_buildings
0,0,Municipality of Grey Highlands,22
1,1,County of Elgin,1
2,2,Township of St. Joseph,7
3,3,Bruce‐Grey Catholic District School Board,14
4,4,County of Middlesex,20
5,6,Kenora Lake of the Woods District Hospital,2
6,8,Limestone District School Board,64
7,9,Township of Laurentian Valley,5
8,467,Dunnville Haldimand War Memorial Hospital,1
9,626,Renfrew Victoria Hospital,2
10,11,Town of Kirkland Lake,16
11,12,Town of South Bruce Peninsula,17
12,13,Township of Armour,4
13,14,City of Pickering,32
14,15,Town of Oakville,69
15,16,Township of Amaranth,2
16,17,Township of Essa,6
17,18,Listowel Memorial Hospital,4
18,19,Town of Gravenhurst,20
19,20,Township of South Dundas,15
20,21,Conseil scolaire public du Nord‐Est de l'Ontario,18
21,22,Kenora Catholic District School Board,6
22,23,Municipality of North Middlesex,15
23,24,Newmarket southlake Regional Health Centre,4
24,25,Kapuskasing Sensenbrenner Hospital,4
25,26,Campbellford Memorial Hospital,1
26,27,City of Thunder Bay,81
27,28,Township of Warwick,9
28,161,Township of Faraday,5
29,30,Township of Nairn & Hyman,6
30,114,Township of Emo,9
31,32,Township of East Hawkesbury,7
32,200,Township of St. Clair,27
33,35,Tillsonburg District Memorial Hospital,3
34,36,Espanola General Hospital,1
35,37,Town of Moosonee,12
36,38,Township of Sioux Narrows-Nestor Falls,7
37,39,Windsor‐Essex Catholic District School Board,50
38,40,Township of Nipigon,12
39,47,Town of Hearst,12
40,535,Township of Asphodel-Norwood,8
41,44,Township of Adjala-Tosorontio,4
42,45,Superior‐Greenstone District School Board,15
43,46,Municipality of Temagami,12
44,280,Township of Algonquin Highlands,15
45,49,Boreal College,15
46,50,Terrace Bay McCausland Hospital,1
47,51,Kemptville District Hospital,3
48,52,County of Huron,19
49,53,Brock University,18
50,54,City of Burlington,37
51,55,Toronto Runnymede Healthcare Centre,2
52,56,Municipality of Northern Bruce Peninsula,15
53,57,Township of Tiny,11
54,58,Town of Deep River,10
55,59,Hamilton‐Wentworth Catholic District School Board,70
56,60,Municipality of Sioux Lookout,10
57,61,County of Prince Edward,50
58,62,Hamilton Health Sciences Corporation,42
59,63,University of Windsor,1
60,338,Town of The Blue Mountains,16
61,65,Wellington Catholic District School Board,25
62,66,Municipality of Oliver-Paipoonge,13
63,450,Algonquin & Lakeshore Catholic District School Board,42
64,68,Toronto Catholic District School Board,203
65,69,Marathon Wilson Memorial General Hospital,1
66,70,Municipality of Clarington,29
67,71,Barrie Royal Victoria Regional Health Centre,2
68,72,Township of Alberton,4
69,73,City of Pembroke,18
70,74,Alexandra Hospital,2
71,75,The Ottawa Hospital,4
72,76,Town of Mono,5
73,77,Municipality of Machin,1
74,78,City of Mississauga,143
75,79,Municipality of Brooke-Alvinston,6
76,81,Wilfrid Laurier University,3
77,82,County of Grey,11
78,216,Township of Pickle Lake,17
79,83,Conseil scolaire de district du Viamonde,47
80,84,Conseil scolaire de district catholique du Centre‐Est de l'Ontario,53
81,85,Town of Milton,34
82,86,Town of Grimsby,14
83,87,Township of McGarry,10
84,88,City of Thorold,22
85,89,Region of Niagara,38
86,90,Township of Huron-Kinloss,14
87,91,City of Niagara Falls,29
88,92,The Salvation Army Toronto Grace Health Centre,1
89,93,Belleville Quinte Healthcare Corporation,3
90,94,Township of Addington Highlands,10
91,95,Hearst University,7
92,575,Deep River and District Hospital,2
93,97,Town of Bancroft,13
94,98,Township of Billings,7
95,99,Township of Perry,8
96,576,Municipality of Bayham,18
97,101,City of Owen Sound,20
98,102,Town of Petrolia,8
99,7,Town of Renfrew,10
100,104,Carleton University,1
101,5,Township of East Garafraxa,2
102,224,Township of Carling,4
103,107,Regional Municipality of York,47
104,108,Village of Point Edward,6
105,109,Richmond Hill Mackenzie Health,1
106,577,Municipality of Chatham-Kent,140
107,111,Municipality of North Grenville,14
108,112,Town of Laurentian Hills,7
109,113,Toronto Mount Sinai Hospital,5
110,115,City of Kenora,25
111,116,Township of Hudson,5
112,117,City of Oshawa,24
113,347,Township of Admaston/Bromley,9
114,119,Humber College,9
115,120,Durham Catholic District School Board,55
116,121,Municipality of Shuniah,6
117,122,Township of Adelaide Metcalfe,5
118,123,City of Windsor,79
119,348,City of Welland,29
120,125,Township of Horton,4
121,126,County of Bruce,15
122,127,Township of Havelock-Belmont-Methuen,12
123,128,City of Temiskaming Shores,25
124,129,Town of Mattawa,7
125,131,Manitouwadge General Hospital,2
126,132,City of St. Catharines,42
127,133,St. Joseph's Health Care London,8
128,134,City of North Bay,15
129,135,Town of Lakeshore,23
130,136,Town of Niagara-on-the-Lake,19
131,226,Township of Pelee,5
132,138,Oshawa Lakeridge Health,5
133,139,Township of Front of Yonge,5
134,140,University of Ontario Institute of Technology,11
135,141,Town of Parry Sound,7
136,270,Township of Selwyn,24
137,144,City of Toronto,530
138,145,Ottawa Hopital Montfort,6
139,524,Northwest Catholic District School Board,8
140,146,Township of Dawson,2
141,147,Town of Innisfil,27
142,148,Township of Malahide,12
143,149,Township of Brethour,2
144,150,Town of Kingsville,16
145,151,Midland Georgian Bay General Hospital,2
146,562,Region of Halton,27
147,466,Kingston General Hospital,2
148,153,York Catholic District School Board,104
149,155,Township of Muskoka Lakes,31
150,156,Newbury Four Counties Health Services,5
151,157,Town of Newmarket,27
152,344,City of St. Thomas,24
153,158,City of Guelph,29
154,159,Township of Beckwith,5
155,160,Pembroke Regional Hospital Inc.,4
156,29,Cornwall St. Joseph's Continuing Care Centre,1
157,162,Barry's Bay St. Frances Memorial Hospital,4
158,371,Toronto East General Hospital,6
159,164,University of Waterloo,3
160,165,Carleton Place and District Memorial Hospital,2
161,166,Conestoga College,49
162,167,Northeastern Catholic District School Board,28
163,31,Municipality of Bluewater,22
164,169,Durham College & University of Ontario Institute of Technology,49
165,170,Municipality of Leamington,10
166,172,Toronto Casey House,3
167,173,Township of Manitouwadge,14
168,174,Township of Hornepayne,6
169,175,Red Lake Margaret Cochenour Memorial Hospital,2
170,171,Toronto's Woman's College Hospital,2
171,177,Municipality of Port Hope,19
172,178,City of Sault Ste. Marie,32
173,179,Municipality of Strathroy-Caradoc,18
174,180,South Bruce Grey Health Centre,4
