index,operation_name,Address,Zip,en_intensity_ekWh_sqft,lat,lng,dim_operation_type,dim_City,dim_organization,tot_floor_area_ft2,org_rank,op_type_rank,city_rank
0,Alexandra Hospital,29 Noxon Street,N5C3V6,69.5970902978408,43.0309193,-80.876204,9,857,74,41046.0,1,683,20
1,Alexandra Hospital,29 Noxon Street,N5C3V6,69.5970902978408,43.0309193,-80.876204,25,857,74,50167.0,1,204,20
2,Glengarry Memorial Hospital,20260 County Road 43,K0C1A0,79.6919238021164,45.3069251,-74.645664,9,939,432,3953.0,2,695,9
3,Glengarry Memorial Hospital,20260 County Road 43,K0C1A0,79.68923524384971,45.3069251,-74.645664,25,939,432,51016.0,1,236,8
4,Adult Ed - Blind River (WC Eaket),147 Woodward Ave,P0R1B0,266.361078476652,46.18837449999999,-82.9466189,10,782,248,1128.0,57,4811,10
5,Adult Ed - Central Algoma,32 Kensington Rd,P0R1E0,35.3527140468554,46.3525528,-83.96722249999998,10,989,248,11288.0,53,4721,3
6,Adult Ed - Chapleau Learning Ctre,34 Birch Street,P0M1K0,7.16638418079096,47.84052399999999,-83.39976089999998,10,692,248,3540.0,2,60,2
7,Adult Ed - Superior Heights,750 North St,P6B2C5,28.010823788292303,46.5395568,-84.3349063,10,110,248,17785.0,41,4419,55
8,Adult Ed/Con Ed - (Alex Henry),232 Northern Ave E,P6B4H6,19.4052868601016,46.5341068,-84.3234535,10,110,248,130173.0,18,2643,23
9,Adult Ed/Co-op (former SF Howe),440 Northland Road,P6A2K7,23.396534717146697,46.5094305,-84.3270962,10,110,248,17776.0,32,3752,39
10,Adult Education - Elliot Lake,50 Roman Ave,P5A1R9,82.6590787607967,46.380004,-82.655878,10,1131,248,11045.0,56,4803,20
11,Anna McCrea PS,250 Mark St,P6A3M7,20.2042815005378,46.5054388,-84.28714850000001,10,110,248,32700.0,20,2884,25
12,Arthur Henderson PS,2 Henderson Lane,P0R1C0,22.0359079183578,46.3024273,-83.7822006,10,203,248,24810.0,27,3435,5
13,Aweres 1 PS,85 Hwy 556,P6A5K7,21.6194654225607,46.5385579,-84.31544240000002,10,110,248,25908.0,26,3319,28
14,Ben R McMullin PS,24 Paradise Ave,P6B5K2,17.0188316402829,46.5237498,-84.298918,10,110,248,22098.0,7,1753,11
15,Blind River PS,19 Hanes Ave,P0R1B0,21.477262802308804,46.1840953,-82.95830720000002,10,782,248,48243.0,25,3272,6
16,Carl Beck- leased,52 Winston Road,P0S1K0,31.9734078445455,47.992392,-84.771007,9,664,248,5500.0,49,451,15
17,Central Algoma SS,32 Kensington Rd,P0R1E0,35.3527140329361,46.3525528,-83.96722249999998,10,989,248,101593.0,52,4720,2
18,Central Avenue PS,81 Central Ave,P5A2G4,17.3936463892941,46.3897942,-82.65779870000001,10,1131,248,34556.0,8,1897,4
19,Chapleau JK-12 School,20 Teak Street,P0M1K0,29.422720417076,47.84052399999999,-83.39976089999998,10,692,248,42635.0,46,4530,10
20,East Area Office - Elliot Lake,50 Roman Ave,P5A1R9,23.809010856767802,46.380004,-82.655878,9,1131,248,11045.0,33,304,14
21,East View PS,75 Arizona Ave,P6A4L9,23.3932059925017,46.51684789999999,-84.2804615,10,110,248,29482.0,31,3751,38
22,Echo Bay Central PS,290 Church St,P0S1C0,29.0614600263612,46.4850014,-84.0618436,10,66,248,18783.0,44,4515,11
23,Education Centre,644 Albert St. E.,P6A2K7,31.4756930107657,46.508751200000006,-84.32676889999998,9,110,248,43100.0,48,442,74
24,Elliot Lake SS (Sec),303 Mississauga Ave,P5A1E8,24.2820436057528,46.376033,-82.66102599999998,10,1131,248,102332.0,34,3933,15
25,Esten Park Public School,115 Hergott Avenue,P5A3B4,20.8844293664802,46.37240900000001,-82.618872,10,1131,248,28866.0,22,3089,11
26,Etienne Brule PS,226 Queen St W,P6A1A4,17.998079913014898,46.5181378,-84.3451194,10,110,248,40536.0,13,2135,16
27,Francis H Clergue PS,80 Weldon Ave,P6B3C6,31.045653021880106,46.5173491,-84.3104381,10,110,248,27140.0,47,4615,72
28,Grandview PS,161 Denwood Dr,P6A5R4,43.9435854056287,46.5097756,-84.26525040000001,10,110,248,27538.0,55,4778,86
29,Greenwood PS,8 Fourth Line W,P6A5K8,26.7940649102284,46.5667019,-84.35237409999998,10,110,248,26629.0,39,4289,51
30,H M Robbins PS,83 East Balfour St,P6C1X4,25.579190853629196,46.532815,-84.38990199999998,10,110,248,25184.0,36,4154,49
31,Hornepayne Jk-12 School,162 Fourth Avenue,P0M1Z0,23.1064419438925,49.2165736,-84.77323059999998,10,1025,248,24304.0,30,3694,5
32,Isabel Fletcher PS,599 Third Line W,P6A6K4,16.3713532403874,46.5515275,-84.38079640000002,10,110,248,25639.0,4,1529,8
33,Johnson-Tarbutt Central PS,5 Margaret Street,P0R1E0,18.6642954236297,46.3472036,-83.92492419999998,10,989,248,15235.0,15,2388,1
34,Kiwedin PS,735 North St,P6B2C4,17.0146739869053,46.539622,-84.334929,10,110,248,24018.0,6,1751,10
35,Korah C & VS/Inter. Sch,636 Goulais Ave,P6C5A7,18.830544731621803,46.54242,-84.38212519999998,10,110,248,179994.0,16,2448,18
36,Michipicoten HS- perpetual leased,86 Magpie Rd.,P0S1K0,28.785611306166896,47.992392,-84.771007,10,664,248,87539.0,43,4493,13
37,Missarenda Consolidated PS,P.O. Box 62,P0M1H0,22.2352651874785,48.316666999999995,-84.083333,10,683,248,5049.0,29,3482,1
38,Mountain View PS,21 Mahler Rd,P0S1E0,21.1345993068013,46.7719202,-84.35916359999997,10,580,248,29783.0,24,3154,1
39,Northern Heights PS,210 Grand Blvd,P6B4S8,20.4053584911485,46.5304545,-84.329836,10,110,248,22851.0,21,2941,27
40,Northern Office - Wawa,36 McKinley St.,P0S1K0,17.4293545182977,47.992392,-84.771007,9,664,248,1779.0,10,158,6
41,Parkland PS,54 Amber St,P6A5G2,18.430742773792602,46.5140424,-84.25885099999998,10,110,248,35632.0,14,2300,17
42,Pinewood PS,3924 Queen St E,P6A5K9,25.8793744989328,46.5247801,-84.2465004,10,110,248,22324.0,37,4193,50
43,Plant Office - SSM,190 Northern Ave. E.,P6B4H6,33.4078364767089,46.5340893,-84.32657320000001,9,110,248,11206.0,50,475,76
44,Prince Charles Sec/AEC,550 Northern Ave E,P6B4J4,24.6970846369845,46.5341394,-84.30770660000002,10,110,248,19473.0,35,4006,47
45,Queen Elizabeth PS,139 Elizabeth St,P6A3Z5,22.1092039768191,46.5077029,-84.30350589999998,10,110,248,25797.0,28,3458,31
46,R M Moore PS,1272 Base Line,P6A6K4,29.357890558002506,46.5214436,-84.42334989999998,10,110,248,24724.0,45,4528,62
47,River View PS,51 Wireless Ave,P6B1L4,16.5024636686545,46.5171624,-84.29829989999998,10,110,248,29955.0,5,1569,9
48,Rockhaven TR School,1859 Riverview Road,P0P1V0,36.7292075214936,46.20981629999999,-82.528221,10,185,248,7750.0,54,4734,2
49,Rosedale PS,90 Chapple St,P6B3N9,17.7866873075511,46.5238655,-84.31085759999998,10,110,248,32779.0,11,2055,14
