,operation_name,Address,Zip,en_intensity_ekWh_sqft,lat,lng,dim_operation_type,dim_City,dim_organization,tot_floor_area_ft2
0,Alexandra Hospital,29 Noxon Street,N5C3V6,69.5970902978408,43.030919299999994,-80.876204,12,915,75,41046.0
1,Alexandra Hospital,29 Noxon Street,N5C3V6,69.5970902978408,43.030919299999994,-80.876204,30,915,75,50167.0
2,Glengarry Memorial Hospital,20260 County Road 43,K0C1A0,79.6919238021164,45.3069251,-74.645664,12,1001,439,3953.0
3,Glengarry Memorial Hospital,20260 County Road 43,K0C1A0,79.68923524384971,45.3069251,-74.645664,30,1001,439,51016.0
4,Adult Ed - Blind River (WC Eaket),147 Woodward Ave,P0R1B0,266.361078476652,46.18837449999999,-82.9466189,13,836,252,1128.0
5,Adult Ed - Central Algoma,32 Kensington Rd,P0R1E0,35.3527140468554,46.3525528,-83.96722249999998,13,1054,252,11288.0
6,Adult Ed - Chapleau Learning Ctre,34 Birch Street,P0M1K0,7.16638418079096,47.84052399999999,-83.39976089999998,13,736,252,3540.0
7,Adult Ed - Superior Heights,750 North St,P6B2C5,28.010823788292303,46.5395568,-84.3349063,13,117,252,17785.0
8,Adult Ed/Con Ed - (Alex Henry),232 Northern Ave E,P6B4H6,19.4052868601016,46.534106799999996,-84.3234535,13,117,252,130173.0
9,Adult Ed/Co-op (former SF Howe),440 Northland Road,P6A2K7,23.396534717146697,46.5094305,-84.3270962,13,117,252,17776.0
10,Adult Education - Elliot Lake,50 Roman Ave,P5A1R9,82.6590787607967,46.380004,-82.655878,13,1202,252,11045.0
11,Anna McCrea PS,250 Mark St,P6A3M7,20.2042815005378,46.5054388,-84.28714850000001,13,117,252,32700.0
12,Arthur Henderson PS,2 Henderson Lane,P0R1C0,22.0359079183578,46.3024273,-83.7822006,13,217,252,24810.0
13,Aweres 1 PS,85 Hwy 556,P6A5K7,21.6194654225607,46.538557899999994,-84.31544240000002,13,117,252,25908.0
14,Ben R McMullin PS,24 Paradise Ave,P6B5K2,17.0188316402829,46.5237498,-84.298918,13,117,252,22098.0
15,Blind River PS,19 Hanes Ave,P0R1B0,21.477262802308804,46.184095299999996,-82.95830720000002,13,836,252,48243.0
16,Carl Beck- leased,52 Winston Road,P0S1K0,31.9734078445455,47.992391999999995,-84.771007,12,708,252,5500.0
17,Central Algoma SS,32 Kensington Rd,P0R1E0,35.3527140329361,46.3525528,-83.96722249999998,13,1054,252,101593.0
18,Central Avenue PS,81 Central Ave,P5A2G4,17.3936463892941,46.389794200000004,-82.65779870000001,13,1202,252,34556.0
19,Chapleau JK-12 School,20 Teak Street,P0M1K0,29.422720417076,47.84052399999999,-83.39976089999998,13,736,252,42635.0
20,East Area Office - Elliot Lake,50 Roman Ave,P5A1R9,23.809010856767802,46.380004,-82.655878,12,1202,252,11045.0
21,East View PS,75 Arizona Ave,P6A4L9,23.3932059925017,46.51684789999999,-84.2804615,13,117,252,29482.0
22,Echo Bay Central PS,290 Church St,P0S1C0,29.0614600263612,46.485001399999994,-84.0618436,13,70,252,18783.0
23,Education Centre,644 Albert St. E.,P6A2K7,31.4756930107657,46.508751200000006,-84.32676889999998,12,117,252,43100.0
24,Elliot Lake SS (Sec),303 Mississauga Ave,P5A1E8,24.2820436057528,46.376033,-82.66102599999998,13,1202,252,102332.0
25,Esten Park Public School,115 Hergott Avenue,P5A3B4,20.8844293664802,46.37240900000001,-82.618872,13,1202,252,28866.0
26,Etienne Brule PS,226 Queen St W,P6A1A4,17.998079913014898,46.5181378,-84.3451194,13,117,252,40536.0
27,Francis H Clergue PS,80 Weldon Ave,P6B3C6,31.045653021880106,46.517349100000004,-84.3104381,13,117,252,27140.0
28,Grandview PS,161 Denwood Dr,P6A5R4,43.9435854056287,46.5097756,-84.26525040000001,13,117,252,27538.0
29,Greenwood PS,8 Fourth Line W,P6A5K8,26.7940649102284,46.5667019,-84.35237409999998,13,117,252,26629.0
30,H M Robbins PS,83 East Balfour St,P6C1X4,25.579190853629196,46.532815,-84.38990199999998,13,117,252,25184.0
31,Hornepayne Jk-12 School,162 Fourth Avenue,P0M1Z0,23.1064419438925,49.216573600000004,-84.77323059999998,13,1090,252,24304.0
32,Isabel Fletcher PS,599 Third Line W,P6A6K4,16.3713532403874,46.5515275,-84.38079640000002,13,117,252,25639.0
33,Johnson-Tarbutt Central PS,5 Margaret Street,P0R1E0,18.6642954236297,46.3472036,-83.92492419999998,13,1054,252,15235.0
34,Kiwedin PS,735 North St,P6B2C4,17.0146739869053,46.539621999999994,-84.334929,13,117,252,24018.0
35,Korah C & VS/Inter. Sch,636 Goulais Ave,P6C5A7,18.830544731621803,46.54242,-84.38212519999998,13,117,252,179994.0
36,Michipicoten HS- perpetual leased,86 Magpie Rd.,P0S1K0,28.785611306166896,47.992391999999995,-84.771007,13,708,252,87539.0
37,Missarenda Consolidated PS,P.O. Box 62,P0M1H0,22.2352651874785,48.316667,-84.083333,13,727,252,5049.0
38,Mountain View PS,21 Mahler Rd,P0S1E0,21.1345993068013,46.771920200000004,-84.35916359999997,13,622,252,29783.0
39,Northern Heights PS,210 Grand Blvd,P6B4S8,20.4053584911485,46.5304545,-84.329836,13,117,252,22851.0
40,Northern Office - Wawa,36 McKinley St.,P0S1K0,17.4293545182977,47.992391999999995,-84.771007,12,708,252,1779.0
41,Parkland PS,54 Amber St,P6A5G2,18.430742773792602,46.5140424,-84.25885099999998,13,117,252,35632.0
42,Pinewood PS,3924 Queen St E,P6A5K9,25.8793744989328,46.5247801,-84.2465004,13,117,252,22324.0
43,Plant Office - SSM,190 Northern Ave. E.,P6B4H6,33.4078364767089,46.5340893,-84.32657320000001,12,117,252,11206.0
44,Prince Charles Sec/AEC,550 Northern Ave E,P6B4J4,24.6970846369845,46.534139399999994,-84.30770660000002,13,117,252,19473.0
45,Queen Elizabeth PS,139 Elizabeth St,P6A3Z5,22.1092039768191,46.5077029,-84.30350589999998,13,117,252,25797.0
46,R M Moore PS,1272 Base Line,P6A6K4,29.357890558002506,46.5214436,-84.42334989999998,13,117,252,24724.0
47,River View PS,51 Wireless Ave,P6B1L4,16.5024636686545,46.517162400000004,-84.29829989999998,13,117,252,29955.0
48,Rockhaven TR School,1859 Riverview Road,P0P1V0,36.7292075214936,46.20981629999999,-82.528221,13,197,252,7750.0
49,Rosedale PS,90 Chapple St,P6B3N9,17.7866873075511,46.5238655,-84.31085759999998,13,117,252,32779.0
50,Searchmont (closed),Hwy 632 ,P6A2K7,0.45727350671620504,51.253775,-85.32321390000001,13,509,252,6998.0
52,Sir James Dunn P.S. (Wawa),36 McKinley St.,P0S1K0,17.4293545172664,47.992391999999995,-84.771007,13,708,252,33803.0
53,St Joseph Island Central S,1326 Richards Street,P0R1J0,21.0709757464434,46.28746899999999,-84.03203429999998,13,1235,252,24046.0
54,Superior Heights C&VS & Interm. School,750 North St,P6B2C5,28.0108237952921,46.5395568,-84.3349063,13,117,252,160066.0
55,Tarentorus PS,96 Northwood St,P6B4M4,20.0004260746077,46.5455876,-84.30870709999998,13,117,252,25305.0
56,Thessalon PS (Jr) ,266 Federation St.,P0R1L0,17.8670373792918,46.261017700000004,-83.5576906,13,545,252,10950.0
57,Thessalon PS (Sr),90 Stanley Street,P0R1L0,26.4937454774642,46.2601879,-83.5598973,13,545,252,18783.0
58,Urban Aboriginal School,188 Kohler St,P6A3V1,19.27224186856689,46.5087505,-84.31658600000002,13,117,252,20383.0
59,W C Eaket SS,147 Woodward Ave,P0R1B0,16.2297537799715,46.18837449999999,-82.9466189,13,836,252,107772.0
60,White Pines C & VS & Intermediate School,1007 Trunk Rd,P6A5K9,26.8066757479599,46.5294592,-84.2563947,13,117,252,189993.0
61,Wm Merrifield VC PS,331 Patrick St,P6C3Y9,34.7838640706186,46.5337785,-84.35302990000002,13,117,252,26468.0
62,ALCDSB Catholic Education Centre,151 Dairy Ave,K7R4B2,20.8267662776722,44.2549595,-76.94794089999998,12,1232,458,26059.0
63,Archbishop O Sullivan Catholic School,974 Pembridge Cres,K7P1A3,32.8199369585342,44.249937,-76.5855153,13,623,458,29289.0
64,Ecole Cathedrale Catholic School,301 Johnson St,K7L1Y5,18.4347023768243,44.2315102,-76.49083739999998,13,623,458,35079.0
65,Georges Vanier Catholic School,100 Tracey Street,K8P2R8,18.41932066181689,44.1840115,-77.39865859999998,13,1140,458,30664.0
66,Holy Cross Catholic Secondary School,1085 Woodbine Rd,K7P4V9,17.9865196543203,44.2582777,-76.5988395,13,623,458,144338.0
67,Holy Family Catholic School,114 Wiley St,K7K5B5,20.8682444663683,44.2606625,-76.48928839999998,13,623,458,25359.0
68,Holy Name Catholic School,"370 Kingston Mills Road, RR 6",K7L4V3,12.8743923838444,44.2991144,-76.424756,13,623,458,22244.0
69,Holy Name of Mary Catholic School,7314 Old Highway 2,K0K2N0,28.70601808770889,44.22470379999999,-77.14005379999998,13,980,458,12311.0
70,Holy Rosary Catholic School,10 Prince of Wales Drive,K8P2T4,25.7861435339153,44.1782632,-77.384641,13,1140,458,20311.0
71,J J O'Neill Catholic School,240 Marilyn Ave,K7R2L4,24.985199493611802,44.247375,-76.96440489999998,13,1232,458,20249.0
72,John XXIII Catholic School,736 High Gate Park Dr,K7M5Z9,29.5773403327887,44.2465581,-76.6046223,13,623,458,27584.0
73,Mother Teresa Catholic School,1044 Lancaster Dr,K7P2L6,23.3297684329815,44.2560866,-76.597948,13,623,458,37967.0
74,Nicholson Catholic College,301 Church Street,K8N3C7,22.9816232462914,44.167895,-77.38269,13,1140,458,94420.0
75,Our Lady of Fatima Catholic School,300 Sidney Street,K8P3Z3,26.9617845401802,44.165768299999996,-77.4009233,13,1140,458,20415.0
76,Our Lady of Lourdes Catholic School,20 Cranbrook St,K7M4M9,27.422354709433797,44.219787,-76.5708099,13,623,458,25270.0
77,Our Lady of Mercy Catholic School,"192 Bridge Street, West, P.O. Box 778",K0L1C0,30.607334832733606,45.056472,-77.86243990000001,13,378,458,20773.0
78,Our Lady of Mount Carmel Catholic School,97 Park Cres,K7N1L7,18.148794779638106,44.224121600000004,-76.64169709999999,13,1133,458,29838.0
79,Plant Operations (East),131 Grant Timmons Drive,K7M8N3,17.2286579920033,44.268049299999994,-76.52368640000002,12,623,458,6000.0
80,Regiopolis - Notre Dame Catholic Secondary School,130 Russell St,K7K2E9,19.428252815470106,44.2438088,-76.49381690000001,13,623,458,136981.0
81,Sacred Heart Catholic School (Batawa),"31 Thomas Bata Blvd., P.O. Box 135",K0K1E0,20.9881459073018,44.176016,-77.596994,13,132,458,15558.0
82,Sacred Heart Catholic School (Marmora),"50 Bursthall Street, P.O. Box 280",K0K2M0,20.113847757323,44.4808951,-77.6788778,13,362,458,19453.0
83,Sacred Heart Catholic School (Wolfe Island),"57 Road 95, Box 59",K0H2Y0,19.3196011693795,44.16001139999999,-76.4215988,13,417,458,16138.0
84,St Carthagh Catholic School,"114 Hungerford Road, P.O. Box 279",K0K3J0,21.3123111039187,44.49675,-77.30422589999998,13,405,458,33513.0
85,St Gregory Catholic School,"7 Owen Street, P.O. Box 1449",K0K2T0,18.5677562497067,44.008942,-77.13752190000002,13,7,458,24694.0
86,St Joseph & St Mary Catholic School,671 Brock Street,K7L1V7,26.4185976119235,44.2328086,-76.5066131,13,623,458,15790.0
