,organization,operation_name,operation_type,Address,City,Zip,en_intensity_ekWh_sqft,en_intensity_ekWh_sqft_pct_rank,lat,long
0,Alexandra Hospital,Alexandra Hospital,Administrative offices and related facilities,29 Noxon Street,Ingersoll,N5C3V6,69.5970902978408,94.46749654218529,43.030919299999994,-80.876204
1,Alexandra Hospital,Alexandra Hospital,Facilities used for hospital purposes,29 Noxon Street,Ingersoll,N5C3V6,69.5970902978408,72.08480565371025,43.030919299999994,-80.876204
2,Alexandria Glengarry Memorial Hospital,Glengarry Memorial Hospital,Administrative offices and related facilities,20260 County Road 43,Alexandria,K0C1A0,79.6919238021164,96.12724757952974,45.3069251,-74.645664
3,Alexandria Glengarry Memorial Hospital,Glengarry Memorial Hospital,Facilities used for hospital purposes,20260 County Road 43,Alexandria,K0C1A0,79.68923524384971,83.3922261484099,45.3069251,-74.645664
4,Algoma District School Board,Adult Ed - Blind River (WC Eaket),Schools,147 Woodward Ave,Blind River,P0R1B0,266.361078476652,99.56539735099336,46.18837449999999,-82.9466189
5,Algoma District School Board,Adult Ed - Central Algoma,Schools,32 Kensington Rd,Desbarats,P0R1E0,35.3527140468554,97.70281456953644,46.3525528,-83.96722249999998
6,Algoma District School Board,Adult Ed - Chapleau Learning Ctre,Schools,34 Birch Street,Chapleau,P0M1K0,7.16638418079096,1.2417218543046358,47.84052399999999,-83.39976089999998
7,Algoma District School Board,Adult Ed - Superior Heights,Schools,750 North St,Sault Ste. Marie,P6B2C5,28.010823788292303,91.45281456953644,46.5395568,-84.3349063
8,Algoma District School Board,Adult Ed/Con Ed - (Alex Henry),Schools,232 Northern Ave E,Sault Ste. Marie,P6B4H6,19.4052868601016,54.69784768211921,46.534106799999996,-84.3234535
9,Algoma District School Board,Adult Ed/Co-op (former SF Howe),Schools,440 Northland Road,Sault Ste. Marie,P6A2K7,23.396534717146697,77.64900662251655,46.5094305,-84.3270962
10,Algoma District School Board,Adult Education - Elliot Lake,Schools,50 Roman Ave,Elliot Lake,P5A1R9,82.6590787607967,99.39983443708608,46.380004,-82.655878
11,Algoma District School Board,Anna McCrea PS,Schools,250 Mark St,Sault Ste. Marie,P6A3M7,20.2042815005378,59.685430463576154,46.5054388,-84.28714850000001
12,Algoma District School Board,Arthur Henderson PS,Schools,2 Henderson Lane,Bruce Mines,P0R1C0,22.0359079183578,71.08857615894041,46.3024273,-83.7822006
13,Algoma District School Board,Aweres 1 PS,Schools,85 Hwy 556,Sault Ste. Marie,P6A5K7,21.6194654225607,68.68791390728478,46.538557899999994,-84.31544240000001
14,Algoma District School Board,Ben R McMullin PS,Schools,24 Paradise Ave,Sault Ste. Marie,P6B5K2,17.0188316402829,36.278973509933785,46.5237498,-84.298918
15,Algoma District School Board,Blind River PS,Schools,19 Hanes Ave,Blind River,P0R1B0,21.477262802308804,67.71523178807946,46.184095299999996,-82.95830720000001
16,Algoma District School Board,Carl Beck- leased,Administrative offices and related facilities,52 Winston Road,Wawa,P0S1K0,31.9734078445455,62.378976486860296,47.992391999999995,-84.771007
17,Algoma District School Board,Central Algoma SS,Schools,32 Kensington Rd,Desbarats,P0R1E0,35.3527140329361,97.68211920529801,46.3525528,-83.96722249999998
18,Algoma District School Board,Central Avenue PS,Schools,81 Central Ave,Elliot Lake,P5A2G4,17.3936463892941,39.2591059602649,46.389794200000004,-82.65779870000001
