,dim_City,City
0,1,Holmesville
1,2,Rosslyn
2,3,Alliston
3,4,Sharbot Lake 
4,5,LEVACK
5,6,Metcalfe
6,1100,MCCREA HEIGHTS
7,7,Picton
8,8,Ear Falls
9,9,Coe Hill
10,10,Colchester Twp
11,610,Ottawa
12,11,Plainville
13,12,Hilliardton
14,13,Thamesville
15,14,Toledo
16,1099,Peterbrough
17,15,Rossmore
18,16,Ulswater
19,17,Shedden
20,18,Shelburne
21,19,Porcupine
22,20,Elmvale
23,21,Casselman
24,23,Garson
25,24,Kerwood
26,142,Levack
27,26,Lions Head
28,27,Welland
29,28,Hockley
30,264,Boulter
31,640,Paris
32,420,Meaford
33,32,Richmond Hill
34,763,Lakeshore
35,33,ONAPING FALLS
36,376,Nairn Centre
37,35,Grande Pointe
38,36,Val Therese
39,37,COLDWATER
40,39,ST. MARYS
41,40,Foymount
42,43,Waterloo
43,44,MacTier
44,45,Dundalk
45,46,Angus
46,49,St. Mary's
47,1122,Sundridge
48,50,Savant Lake
49,51,Mildand
50,52,Campbellford
51,53,Schreiber
52,54,Kearney
53,55,Exeter
54,56,TAVISTOCK
55,57,Pelee Island
56,856,Vars
57,59,Chesley
58,1118,Mississippi
59,381,Sydenham
60,62,Brigden
61,63,St. Agatha
62,64,Port Dover
63,65,Gormley
64,1056,Harrow
65,66,Bergland
66,67,Glen Robertson
67,68,Port Carling
68,69,Seeley's Bay`
69,70,Echo Bay
70,439,Madawaska 
71,427,Godfrey
72,74,Windsor
73,75,Fisherville
74,76,Wellesley
75,975,Morganston
76,77,Longlac
77,78,Merlin
78,79,St-Charles
79,80,COPPER CLIFF
80,81,Barwick
81,82,Harrowsmith
82,83,Prince Township
83,84,Innisfil
84,85,Arnprior
85,86,DOWLING
86,87,Lakehurst
87,88,Merrickville
88,432,Lucknow
89,90,"Novar, ON"
90,91,Kakabeka Falls
91,92,Burlington
92,93,Shakespeare
93,94,Barry's bay
94,430,Flesherton
95,96,Kakabeka
96,97,Shining Tree
97,99,Townsend
98,100,Hilton Beach
99,101,Grand Valley
100,250,Port Bolster
101,862,Thorold
102,103,Sheffield
103,104,Hammond
104,1133,Amherstview
105,105,Roseville
106,1193,St Clement
107,107,Rockland
108,433,Walkerton
109,110,Sharbot Lake
110,652,Dunnville
111,114,Walsh
112,115,Tupperville
113,116,Conestogo
114,117,Sault Ste. Marie
115,118,East Gwillumbury
116,119,Maidstone
117,120,McKellar
118,121,East Gwillimbury
119,122,GARSON
120,123,Springford
121,124,Murillo
122,125,Georgina
123,1016,Etobicoke
124,126,Geraldton
125,952,Russell
126,127,Roseneath
127,128,Eagle Lake
128,129,Fraserville
129,130,Arthur
130,131,Moonstone
131,132,Batawa
132,133,Cargill
133,134,Chalk River
134,135,Griffith
135,136,Kemptville 
136,138,Borden
137,139,Baden 
138,869,Wiarton
139,141,Tilbury
140,600,Oakville 
141,143,Hallville
142,144,Zurich
143,145,Stevensville
144,146,Earlton
145,147,Verona
146,148,Holland Centre
147,149,Cache Bay
148,150,KEPPEL
149,152,Plattsville
150,153,WAHNAPITAE
151,658,Wheatley
152,1220,Oro Medonte
153,155,Burritt's Rapids
154,156,Green Valley
155,157,Orleans
156,158,Grandbend
157,659,Clarence Creek
158,161,Port Colborne
159,271,St Eugene
160,903,The Blue Mountains
161,163,Conmee
162,164,Porquis
163,165,Balmertown
164,166,South River
165,167,Canton
166,168,Richmond
167,1071,Aylmer
168,170,Amaranth
169,171,Cardinal
170,172,Alberton
171,173,Crediton
172,174,Thedford
173,818,Rainy River
174,175,Centreville
175,176,Combermerre
176,875,Little Current
177,1131,Chelsey
178,179,White River
179,180,Aurora 
180,876,Sault Ste Marie
181,183,Seymour
182,184,Winchester Springs
183,1229,Rannoch
184,185,Tamworth
185,444,Trout Creek
186,188,Pembroke 
187,1084,Carleton Place
188,1135,Kincardine
189,190,Joyceville
190,1234,"Williamstown, Ont"
191,192,Willow Beach
192,877,St. Thomas 
193,193,Chaput Hughes
194,194,Brighton
195,195,Sebringville
196,196,Chatsworth
197,197,Serpent River
198,198,Glencoe
199,199,Ridgeway
200,200,Vanier
201,201,Wilkesport
202,347,CHELMSFORD
203,204,Walford
204,1078,Selby
205,207,Blackstock
206,208,Innerkip
207,210,Millhaven
208,211,Atikokan
209,212,Millgrove
210,213,Palgrave
211,214,Westbrook
212,563,Pickering
213,216,Flinton
214,217,Bruce Mines
215,978,Waverley
216,219,Moose Creek
217,220,Dungannon
218,221,Binbrook
219,222,St. Pauls
220,223,Sheguiandah
221,224,Huron Park
222,257,Goderich
223,226,Vittoria
224,1083,Kemptville
225,227,Bath
226,228,South Buxton
227,229,Fournier
228,230,Bornholm
229,231,FALCONBRIDGE
230,232,Onondaga
231,233,Battersea
232,451,Brampton
233,235,Spring Bay
234,237,kenora
235,239,Chelmsford
236,240,Foresters Falls
237,241,Sharon
238,242,St. Andrews West
239,1154,Wilno
240,672,Pembroke
241,187,Willowdale
242,1238,St. Davids
243,246,Fenwick
244,888,Teeswater
245,202,Belgrave
246,248,Hensall
247,215,Charlton Station
248,1015,Philipsburg
249,251,Peats Point
250,252,Brockville
251,253,La Salette
252,260,Hearst
253,1034,Harwood
254,255,Jarvis
255,256,Wallacetown
256,258,Eagle
257,259,Smooth Rock Ralls
258,1246,Sandfield
259,261,Dresden
260,262,Val Caron
261,1227,New Liskeard
262,651,Selkirk
263,992,Mt. Pleasant
264,892,HANMER
265,266,Lynden
266,334,Clayton
267,268,Springwater
268,269,Jordan
269,270,Marionville
270,273, Ste-Anne-de-Prescott
271,1086,Smithville
272,274,Hanover
273,275,Tobermory
274,160,Ullswater
275,277,Mississauga
276,278, South Mountain
277,279,Stirling
278,280,Paisley
279,443,Caledon
280,282,Oshawa
281,283,Buckhorn
282,284,St. Eugene
283,285,Orwell
284,286,Londesboro
285,287,Stoney Creek
286,288,Egremont
287,1090,Hornepayne
288,289,Plevna
289,654,Waterdown
290,291,Maxwell
291,1217,Wendover
292,292,Cloyne
293,1091,Elizabethtown
294,294,Holland Landing
295,297,Junctionville
296,298,FInch
297,302,Kenilworth
298,303,Marathon
299,688,Almonte
300,305,Wilmot
301,306,Ennismore
302,307,Peterborough
303,308,Fingal
304,309,Elginburg
305,310,South Porcupine
306,312,Wyoming
307,316,Carrying Place
308,299,Douro
309,318,Foots Bay
310,319,Sturgeon Falls
311,320,Perth
312,321,Magnetawan
313,245,Englehart
314,734,Kinmount
315,324,Canfield
316,325,Inwood
317,326,Mildmay
318,327,Ayr
319,328,Wilmot Township
320,329,Victoria Harbour
321,693,Killaloe
322,332,Gooderham
323,333,Kearns
324,335,Thornloe
325,336,Avonmore 
326,337,Delhi
327,338,Mattawa
328,339,Port Elgin
329,340,Port Sydnet
330,1181,Virgil
331,341,Corruna
332,342,North Easthope
333,343,Whitney
334,344,Killarney
335,345,Barry's Bay
336,205,Shanty Bay
337,348,Port Sydney
338,313,Howe Island
339,350,St. Joachim
340,351,Petawawa 
341,469,Corbeil
342,355,Moira
343,356,STRATHROY
344,357,Baxter 
345,358,Port Loring
346,359,CAPREOL
347,360,Green River
348,361,Gordon
349,691,Clearview
350,362,Marmora
351,699,Queensville
352,364,Rostock
353,366,Kitchener
354,367,Dwight
355,346,Inkerman
356,369,Gore Bay
357,911,Beaverton
358,700,Armstrong
359,371,Courtright
360,372,Ignace
361,373,Midhurst
362,374,Newton
363,301,Oxford Mills 
364,151,Severn Bridge
365,378,Bancroft
366,379,Beamsville
367,380,Port Perry
368,1075,Kicardine
369,1061,Laurentian Valley
370,382,Pickle Lake
371,383,Brucefield
372,1073,Sweaburg
373,912,Fort Frances
374,38,Cardinal 
375,73,Portland 
376,388,Grimsby
377,389,Bright's Grove
378,390,Kapuskasing
379,857,Allanburg
380,391,Ramore
381,392,AZILDA
382,393,Cavan
383,395,Blue Mountains
384,649,Tay
385,397,Damascus
386,398,Chesterville
387,399,LIVELY
388,113,Port Burwell
389,401,Burford
390,402,Belmore
391,1039,Escott
392,404,Wooler
393,1107,Scarborough
394,406,Lakefield
395,917,Virginiatown
396,408,Holstien
397,409,Shannonville
398,410,Dorchester
399,1173,Smooth Rock Falls
400,411,Claremont
401,412,Welcome
402,413,Otterville
403,218,Young's Point
404,415,Keewatin
405,416,Alban
406,417,Wolfe Island
407,418,Orillia
408,419,Wingham
409,331,Port McNIcoll
410,34,Hillier
411,423,Campbellville
412,424,Haileybury
413,425,Chatham
414,293,INNERKIP
415,72,Bloomingdale
416,428,Haley Station
417,95,Kleinburg
418,102,Emeryville
419,108,Verner
420,434,St Cathariness
421,435,Castleton
422,711,Moosonee
423,437,Caistor Centre
424,137,Walters Falls
425,726,Bourget
426,712,Fullarton
427,593,Bothwell
428,487,Mount Elgin
429,442,Woodham
430,575,Monkton
431,387,Courtice 
432,186,Crystal Falls
433,445,Maxville
434,972,Lion's Head
435,446,Cambridge
436,447,Clinton
437,449,Parkhill
438,48,Gratton
439,234,Orangeville
440,489,Oxford Mills
441,681,Hepworth
442,254,Hagersville
443,238,Erin
444,1066,KirkField
445,456,Foldens
446,457,Brantford
447,1085,Dorion
448,459,L'Original
449,1205,Milton
450,461,Clifford
451,943,Coniston
452,463,Washago
453,465,Ontario
454,466,Douro-Dummer
455,1151,Consecon
456,493,Barrhaven
457,732,Monkland
458,472,Wasaga Beach
459,475,Lucan
460,476,Granton
461,477,Longlac Ward
462,495,Fonthill
463,479,Waterford
464,1046,Ridgeville
465,480,Gowanstown
466,1120,Perth Road
467,481,Newbury
468,482,Smiths Falls
469,483,BEAVER LAKE
470,485,Cochenour
471,486,"Glen Walter, Ont"
472,441,Amherst Island
473,488,Winchester
